,text,class
0,"""não come mel, morde marimbondo""",-1
1,"não tem pinto, tem orgulho !",-1
2,Não vê essa merda de Crepúsculo! Pra isso temos a cinebiografia do Chuck Norris....,-1
3,"não da tapa na bundinha, da cotovelada nas costas !",-1
4,o diminutivo INHO não acompanha a trajetória de um HOMEM DE VERDADE.,3.1
5,"uns tem saco, nós temos culhões !!!!!!!!!!!!!!!!!!!",-1
6,"Esse futebol de hoje ""politicamente correto"" e ""profissional"" não é coisa de homem de verdade...é de mariquinha..futebol tem que ter porrada",3.1
7,água ser essencial é coisa de maricas. Cerveja é essencial !,4.2.2
8,"""....não tem barriga tem calo sexual...""",-1
9,"""....não manda ajustar a calça, deixa um espaço pra sua Smith & Wesson entrar em ação.""",-1
10,"Morte aos hipsters a as camisetas de cores citricas, morte a meias coloridinhas e as cuequinhas alegres.",-1
11,"@homemdeverdade não tem namorada, tem fêmea temporária.",3.3
12,"Apesar de serem da Australia, AC/DC é uma banda de homens de verdade!",-1
13,"@homemdeverdade come frango cru nao a "" passarinho "" !",-1
14,FATO: Tem muita mulher que é muito mais @homemdeverdade do que muito mariquinha fresco por ai !,3.1
15,"@Homemdeverdade não usa capa de chuva,  @Homemdeverdade nada em tsunami !",3.1
16,quem não gosta de AC/DC @fodemal e não é @homemdeverdade !,3.1
17,"Jamais confunda um homem porco a um @homemdeverdade, um @homemdeverdade sabe bem a hora de lavar as mãos !",-1
18,"@homemdeverdade usa barba ou bigode, essa coisa de pelinha lisinha pra gente é bunda de mulher !",3.1
19,"@luizsergiovo : ser pós moderno não é coisa de @homemdeverdade, portanto @fodemal !",3.1
20,"@homemdeverdade pega forte na cintura da sua fêmea, essa coisa de delicadeza nessas horas é desses Jonnys Manés Citricos bunda mole!",3.3
21,"@homemdeverdade não pode ser vegetariano, a gente esta sempre no topo da cadeia alimentar !",11.4
22,"FATO: Estamos em plena extinção, o mundo esta sendo dominado por bibasexuais, creminhosexuais, saladinhasexuais, metrosexufrangas!",4
23,Somos o foco da resistência antifrangas modernas sem culhões !,-1
24,"Confissões de um @homemdeverdade : Na hora do banho, toma sem pressa, curte a água, não limpa o umbigo e soca uma bronha (melhor parte) !",3.1
25,"Se vc tem um namorado que diz que não olha para as gostosas e que
não bate umazinha nunca! FUJA: é uma franguinha sem caráter !!!",3.1
26,"RT @heto: cientificamente comprovado. se não curte um pornozinho, não é @homemdeverdade",3.1
27,"RT @gmarangoni Terry Richardson, fotógrafo do calendário da Pirelli 2010, profissão: @homemdeverdade - http://tinyurl.com/yghn7oa",-1
28,@homemdeverdade gosta quando @averdadeeh sem rodeios....,-1
29,"Enciclopédia @homemdeverdade : Futebol = hora sagrada, churrasco, cerveja gelada, não gosta vaza! fêmeas no shopping !",3.3
